First_Name,EMail,Age,Gender,Location_Preferences,Latitude,Longitude,Country,City,Languages_Preferred,Last_Seen,Response_Time,Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Count_Programming_and_Software_Development_off,Count_Project_Management_off,Count_Accounting_and_Finance_off,Count_Marketing_and_Advertising_off,Count_Sales_and_Customer_Service_off,Count_Human_Resources_and_Leadership_off,Count_Graphic_Design_and_Illustration_off,Count_Photography_and_Photo_Editing_off,Count_Music_instruments_Composition_and_Production_off,Count_Writing_and_Editing_off,Count_Arts_and_Crafts_and_DIY_Projects_off,Count_Learning_Foreign_Languages_off,Count_Written_and_Oral_Communication_in_Various_Languages_off,Count_Interpretation_and_Translation_off,Count_Computer_and_Software_Application_Operation_off,Count_Network_Administration_and_IT_Support_off,Count_Electronics_and_Robotics_off,Count_Web_Design_and_Development_off,Count_Data_Analysis_and_Visualization_off,Count_Interpersonal_Communication_off,Count_Conflict_Resolution_and_Mediation_off,Count_Empathy_and_Emotional_Intelligence_off,Count_Leadership_Skills_and_Teamwork_off,Count_Networking_and_Relationship_Management_off,Count_Cooking_and_Baking_off,Count_Gardening_and_Farming_off,Count_DIY_and_Repairs_off,Count_Driving_and_Vehicle_Maintenance_off,Count_First_Aid_and_Life_Saving_Techniques_off,Count_Mathematics_and_Sciences_off,Count_History_and_Social_Sciences_off,Count_Literature_and_Philosophy_off,Count_Research_Methods_and_Academic_Writing_off,Count_Academic_Reading_and_Critique_off,Count_Time_Management_and_Organization_off,Count_Stress_Management_and_Mindfulness_off,Count_Financial_Planning_and_Budgeting_off,Count_Self_Defense_and_Personal_Safety_off,Count_Healthcare_and_Nutrition_off,Sum_Skills_Off,Sum_Skills_Rec,Usability,Speed_Performance,Feature_Satisfaction,Security_Satisfaction,Customer_Support
Judith,judith.alemdar@protonmail.com,24,Female,Local or Remote,52.60978217393191,13.725350032334587,Germany,Berlin,"['Spanish', 'Japanese', 'Ukrainian', 'Romanian', 'French']",Within a Month,Within a month,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,Neutral or Average,Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied
Alfred,alfred.rincón@protonmail.com,26,Male,Local Only,52.41662364176631,13.654551517116971,Germany,Berlin,"['Japanese', 'German', 'Ukrainian']",Today,Within a week,,,,,,,,,,,,,,,Beginner,Novice,Novice,Beginner,Novice,Expert,Novice,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,17.0,16.0,Dissatisfied,Dissatisfied,Very Satisfied,Dissatisfied,Satisfied
Arturo,arturo.janoszka@unitybox.de,29,Female,Local or Remote,52.47372366730931,13.43134993852965,Germany,Berlin,"['Russian', 'Japanese']",Today,Within a week,,,,,,,,,,,,Expert,Beginner,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,Neutral or Average,Very Dissatisfied,Satisfied,Dissatisfied,Dissatisfied
Tadeusz,tadeusz.coelho@gmail.com,29,Male,Local or Remote,52.547911423500096,13.756093171741526,Germany,Berlin,"['Arabic', 'French', 'Ukrainian', 'Russian']",Within a Week,Within a week,,,,,,,,,,,,Expert,Intermediate,Novice,,,,,,Novice,Expert,Beginner,Advanced,Novice,,,,,,,,,,,Beginner,Intermediate,Intermediate,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,4.0,Very Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral or Average
Irmtraut,irmtraut.luque@gmx.de,29,Male,Remote Only,52.45649050761422,13.277561466837897,Germany,Berlin,"['English', 'Japanese', 'Portuguese']",Within a Week,More than a month,Intermediate,Novice,Novice,Beginner,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Beginner,Beginner,Novice,Beginner,Beginner,Expert,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,21.0,19.0,Dissatisfied,Neutral or Average,Very Satisfied,Neutral or Average,Neutral or Average
Olivia,olivia.lecoq@hotmail.com,31,Male,Local or Remote,52.49931826268627,13.27742294321707,Germany,Berlin,"['Portuguese', 'Italian', 'English', 'French', 'Russian']",Yesterday,Within a month,,,,,,,,,,,,,,,,,,,,Expert,Novice,Novice,Novice,Intermediate,Novice,Advanced,Beginner,Novice,Advanced,,,,,,Beginner,Beginner,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,11.0,10.0,Very Satisfied,Neutral or Average,Satisfied,Neutral or Average,Satisfied
Norman,norman.barón@zoho.com,29,Female,Remote Only,52.66099118822318,13.354893609262342,Germany,Berlin,"['Hindi', 'Bengali', 'Polish', 'Punjabi', 'Ukrainian']",Recently,Within a month,,,,,,,,,,,,Beginner,Expert,Intermediate,Advanced,Intermediate,Beginner,Novice,Novice,,,,,,,,,,,,,,,,Novice,Beginner,Novice,Beginner,Novice,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Neutral or Average,Dissatisfied,Neutral or Average,Dissatisfied,Very Satisfied
Ricardo,ricardo.rahman@unitybox.de,29,Male,Remote Only,52.65631673748504,13.453913167204352,Germany,Berlin,['Bengali'],Within a Week,Within a week,,,,,,,Intermediate,Novice,Advanced,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,34.0,Neutral or Average,Dissatisfied,Neutral or Average,Very Satisfied,Satisfied
Anaïs,anaïs.nalewajko@hotmail.com,29,Female,Local or Remote,52.59637344358564,13.245552307668046,Germany,Berlin,"['Hindi', 'Italian', 'Romanian']",Over a Month Ago,Within a week,,,,,,,,,,,,,,,Intermediate,Intermediate,Expert,Novice,Intermediate,,,,,,,,,,,Novice,Advanced,Novice,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,Very Satisfied,Dissatisfied,Satisfied,Very Satisfied,Neutral or Average
Etta,etta.delattre@icloud.com,26,Female,Local or Remote,52.50289251172649,13.585942571512728,Germany,Berlin,"['Romanian', 'Japanese']",Over a Month Ago,Within a week,Novice,Expert,Intermediate,Intermediate,Intermediate,Novice,,,,,,,,,,,,,,Novice,Novice,Novice,Advanced,Beginner,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,24.0,Neutral or Average,Satisfied,Dissatisfied,Dissatisfied,Neutral or Average
Mieszko,mieszko.akçay@web.de,25,Prefer not to say,Local or Remote,52.37675661412846,13.170737897690945,Germany,Berlin,"['Russian', 'English', 'German', 'Bengali']",Within a Month,Within a week,Expert,Beginner,Novice,Novice,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Advanced,Novice,Expert,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Neutral or Average,Satisfied,Satisfied,Satisfied,Dissatisfied
Marcel,marcel.lobo@aol.com,30,Male,Local or Remote,52.596648329522495,13.749895043281988,Germany,Berlin,"['Russian', 'Turkish', 'Portuguese', 'Japanese']",Within a Week,Within a month,,,,,,,,,,,,Beginner,Novice,Novice,,,,,,Expert,Novice,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,3.0,Satisfied,Dissatisfied,Satisfied,Satisfied,Very Dissatisfied
Fidela,fidela.niedbał@t-online.de,24,Female,Remote Only,52.59362126689166,13.75470355425324,Germany,Berlin,"['Portuguese', 'Russian']",Within a Week,Within a week,,,,,,,,,,,,Expert,Novice,Novice,,,,,,Intermediate,Novice,Beginner,Beginner,Expert,,,,,,Intermediate,Beginner,Intermediate,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,9.0,9.0,Satisfied,Very Satisfied,Dissatisfied,Neutral or Average,Neutral or Average
Dagmara,dagmara.eigenwillig@outlook.com,27,Male,Local or Remote,52.57175056849147,13.33753958793841,Germany,Berlin,['Mandarin Chinese'],Today,Within 24 hours,,,,,,,Expert,Novice,Advanced,Expert,Novice,,,,Novice,Expert,Novice,Expert,Advanced,Beginner,Novice,Intermediate,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,Satisfied,Satisfied,Dissatisfied,Neutral or Average,Satisfied
Siegried,siegried.kramer@gmx.de,27,Male,Local or Remote,52.517453123524426,13.224980215540878,Germany,Berlin,"['Portuguese', 'Italian', 'Japanese', 'Punjabi']",Today,Within a month,,,,,,,,,,,,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Neutral or Average,Dissatisfied,Satisfied,Very Dissatisfied,Satisfied
Franciszek,franciszek.vasseur@protonmail.com,29,Male,Remote Only,52.37072855323139,13.20626741965777,Germany,Berlin,"['Mandarin Chinese', 'Arabic']",Within a Week,More than a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Intermediate,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,20.0,16.0,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Satisfied
Riccardo,riccardo.kuhl@protonmail.com,26,Female,Local Only,52.345288511830034,13.472241787840582,Germany,Berlin,['Punjabi'],Within a Week,Within a week,,,,,,,,,,,,,,,Intermediate,Novice,Intermediate,Intermediate,Beginner,,,,,,Novice,Intermediate,Expert,Beginner,Novice,,,,,,Expert,Novice,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,Neutral or Average,Neutral or Average,Neutral or Average,Satisfied,Satisfied
Tamaydın,tamaydın.ribeiro@freenet.de,31,Female,Local or Remote,52.50002817917613,13.192501307848762,Germany,Berlin,['Polish'],Today,Within a week,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Novice,Intermediate,Intermediate,Novice,Beginner,Intermediate,Novice,Novice,,,,,,Advanced,Beginner,Expert,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,13.0,11.0,Neutral or Average,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Neutral or Average
Dan,dan.castioni@aol.com,29,Female,Local Only,52.610062955548,13.28807604418466,Germany,Berlin,"['English', 'Punjabi', 'French', 'Spanish']",Within a Week,Within a week,,,,,,,,,,,,Expert,Beginner,Beginner,,,,,,,,,,,Novice,Expert,Expert,Novice,Novice,,,,,,Novice,Beginner,Novice,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,0.0,Satisfied,Satisfied,Satisfied,Satisfied,Neutral or Average
Gaja,gaja.thies@outlook.com,26,Male,Local or Remote,52.37570171363836,13.243533826338094,Germany,Berlin,"['Arabic', 'Italian']",Recently,Within a week,Expert,Beginner,Expert,Intermediate,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,18.0,Very Satisfied,Neutral or Average,Very Satisfied,Satisfied,Satisfied
Sonja,sonja.rosales@zoho.com,27,Male,Local Only,52.47689035618952,13.327521665476466,Germany,Berlin,"['Romanian', 'Turkish', 'French']",Yesterday,Within 24 hours,,,,,,,Expert,Novice,Beginner,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,17.0,Dissatisfied,Neutral or Average,Dissatisfied,Neutral or Average,Satisfied
Livia,livia.hejna@aol.com,26,Male,Remote Only,52.61068971767647,13.702917051192228,Germany,Berlin,"['Mandarin Chinese', 'Italian', 'Japanese', 'Spanish', 'Romanian']",Recently,Within 24 hours,,,,,,,,,,,,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,Very Satisfied,Dissatisfied,Very Satisfied,Neutral or Average,Satisfied
Tamaydın,tamaydın.lucciano@protonmail.com,27,Female,Local Only,52.63086716037169,13.590047967113865,Germany,Berlin,"['German', 'Hindi', 'Punjabi', 'Japanese']",Within a Week,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Beginner,Advanced,Beginner,Beginner,Advanced,Intermediate,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,15.0,Neutral or Average,Neutral or Average,Satisfied,Dissatisfied,Neutral or Average
Sophie,sophie.akdeniz@icloud.com,26,Female,Local or Remote,52.65743731316277,13.598728868403336,Germany,Berlin,"['Portuguese', 'Punjabi']",Recently,Within a week,Expert,Advanced,Novice,Novice,Intermediate,Advanced,,,,,,,,,Novice,Expert,Advanced,Intermediate,Novice,,,,,,,,,,,,,,,,Novice,Novice,Novice,Novice,Beginner,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0,Very Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied
Dale,dale.kokosza@arcor.de,25,Female,Remote Only,52.48526358109189,13.73735746033307,Germany,Berlin,"['French', 'German', 'Ukrainian', 'Hindi']",Today,Within a week,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,Intermediate,Novice,,,,,,Beginner,Novice,Novice,Intermediate,Beginner,Beginner,Novice,Expert,Advanced,Intermediate,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,15.0,15.0,Satisfied,Satisfied,Neutral or Average,Very Dissatisfied,Satisfied
Domenico,domenico.scholz@gmail.com,29,Male,Remote Only,52.50947454850933,13.282525797005285,Germany,Berlin,['Italian'],Within a Week,Within a month,Intermediate,Expert,Novice,Advanced,Novice,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,,,,Intermediate,Novice,Intermediate,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,Neutral or Average,Neutral or Average,Dissatisfied,Very Dissatisfied,Dissatisfied
Horst-Günter,horst-günter.machado@t-online.de,28,Male,Remote Only,52.39853595478885,13.43598876878432,Germany,Berlin,"['Russian', 'Hindi']",Recently,Within 24 hours,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Expert,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,7.0,7.0,Neutral or Average,Very Satisfied,Neutral or Average,Neutral or Average,Neutral or Average
Leopoldine,leopoldine.bloch@icloud.com,27,Male,Remote Only,52.54488770240916,13.144910121318215,Germany,Berlin,['Italian'],Yesterday,Within a week,,,,,,,,,,,,,,,Intermediate,Novice,Intermediate,Advanced,Intermediate,Beginner,Beginner,Beginner,Intermediate,Advanced,,,,,,,,,,,Intermediate,Intermediate,Intermediate,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,24.0,Satisfied,Dissatisfied,Neutral or Average,Neutral or Average,Very Satisfied
Colette,colette.weihmann@zoho.com,24,Male,Local or Remote,52.62894276919214,13.225905790031094,Germany,Berlin,"['Hindi', 'Arabic', 'English', 'Spanish']",Today,Within 24 hours,,,,,,,,,,,,,,,Advanced,Novice,Advanced,Novice,Novice,,,,,,Beginner,Novice,Novice,Expert,Beginner,Novice,Advanced,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,16.0,18.0,Neutral or Average,Neutral or Average,Neutral or Average,Very Satisfied,Neutral or Average
Emilio,emilio.royer@yahoo.com,25,Male,Local or Remote,52.47944301288722,13.189233264764413,Germany,Berlin,"['Italian', 'Ukrainian', 'Spanish', 'Punjabi', 'Bengali']",Yesterday,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,11.0,11.0,Very Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied
Eva María,eva maría.gülen@arcor.de,28,Female,Local or Remote,52.66120870545487,13.679551616733134,Germany,Berlin,"['French', 'Turkish', 'Bengali', 'Polish']",Recently,Within a month,,,,,,,,,,,,,,,Advanced,Intermediate,Beginner,Intermediate,Advanced,,,,,,Novice,Expert,Novice,Expert,Beginner,,,,,,Intermediate,Beginner,Intermediate,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,13.0,13.0,Dissatisfied,Very Dissatisfied,Neutral or Average,Dissatisfied,Very Dissatisfied
Çağdan,çağdan.baresi@freenet.de,28,Female,Local or Remote,52.49507396586964,13.437575150059024,Germany,Berlin,"['Spanish', 'Japanese']",Within a Week,Within a month,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Intermediate,Novice,Intermediate,Intermediate,Expert,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,Satisfied,Very Dissatisfied,Satisfied,Dissatisfied,Dissatisfied
Jerzy,jerzy.marcol@mail.com,28,Female,Local or Remote,52.59415689785824,13.699540233208172,Germany,Berlin,['Japanese'],Within a Week,Within a week,Novice,Expert,Novice,Novice,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Cezary,cezary.pausini@arcor.de,28,Female,Local or Remote,52.36173753398492,13.107909519024032,Germany,Berlin,"['Hindi', 'Italian', 'Mandarin Chinese', 'Japanese', 'Polish']",Within a Week,More than a month,,,,,,,,,,,,Beginner,Novice,Novice,,,,,,,,,,,Intermediate,Beginner,Intermediate,Intermediate,Beginner,,,,,,Beginner,Intermediate,Intermediate,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,Neutral or Average,Neutral or Average,Satisfied,Neutral or Average,Satisfied
Gotthard,gotthard.kala@1und1.de,24,Male,Local or Remote,52.63000917522445,13.423451988523889,Germany,Berlin,['Turkish'],Within a Week,Within a week,Expert,Novice,Intermediate,Advanced,Novice,Beginner,,,,,,,,,Novice,Beginner,Advanced,Novice,Expert,,,,,,Novice,Novice,Beginner,Intermediate,Beginner,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,21.0,Neutral or Average,Neutral or Average,Neutral or Average,Very Satisfied,Very Satisfied
Andrzej,andrzej.vizcaíno@hotmail.com,26,Diverse,Local or Remote,52.59222979017289,13.484223935172224,Germany,Berlin,"['French', 'Ukrainian', 'Hindi', 'Punjabi', 'Japanese']",Over a Month Ago,Within a month,,,,,,,,,,,,,,,Expert,Expert,Novice,Beginner,Novice,,,,,,,,,,,,,,,,Advanced,Beginner,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,17.0,Very Dissatisfied,Very Satisfied,Satisfied,Satisfied,Dissatisfied
Micael,micael.çorlu@protonmail.com,26,Prefer not to say,Local or Remote,52.55530248745752,13.500717481149374,Germany,Berlin,"['Russian', 'Ukrainian', 'Arabic', 'French']",Over a Month Ago,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Expert,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,15.0,18.0,Very Satisfied,Dissatisfied,Very Satisfied,Neutral or Average,Neutral or Average
Jost,jost.tarhan@1und1.de,28,Male,Remote Only,52.64672684423141,13.52907570243149,Germany,Berlin,"['Punjabi', 'Italian', 'German']",Today,Within a week,,,,,,,,,,,,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,16.0,Neutral or Average,Neutral or Average,Neutral or Average,Dissatisfied,Neutral or Average
Sylvia,sylvia.burzec@web.de,25,Female,Local or Remote,52.42697406806886,13.119595123499677,Germany,Berlin,"['Hindi', 'Polish']",Within a Month,More than a month,,,,,,,,,,,,Novice,Expert,Novice,Beginner,Beginner,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,10.0,8.0,Satisfied,Very Dissatisfied,Dissatisfied,Satisfied,Dissatisfied
Matilda,matilda.díaz@gmx.de,27,Male,Remote Only,52.586065419243454,13.614393918981987,Germany,Berlin,"['English', 'Portuguese', 'Hindi', 'Arabic', 'Romanian']",Within a Week,Within a week,Expert,Beginner,Novice,Novice,Novice,Advanced,Intermediate,Beginner,Beginner,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,18.0,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied
Dorina,dorina.disdero@icloud.com,29,Female,Local or Remote,52.5384040126155,13.572858250045986,Germany,Berlin,"['French', 'English']",Within a Week,More than a month,Advanced,Beginner,Novice,Novice,Expert,Advanced,Beginner,Novice,Novice,Novice,Expert,,,,Beginner,Novice,Advanced,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,8.0,8.0,Very Dissatisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied
Adele,adele.loureiro@1und1.de,26,Male,Remote Only,52.46186634275689,13.29615774398745,Germany,Berlin,"['Arabic', 'Japanese']",Recently,Within a month,,,,,,,,,,,,Advanced,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,17.0,Neutral or Average,Very Dissatisfied,Dissatisfied,Very Satisfied,Very Dissatisfied
Gianluca,gianluca.biernacik@gmx.de,26,Female,Remote Only,52.61032721917046,13.436168732027417,Germany,Berlin,['Hindi'],Within a Week,Within a month,,,,,,,Novice,Beginner,Beginner,Expert,Beginner,,,,,,,,,,,,,,Novice,Novice,Beginner,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,18.0,Very Satisfied,Neutral or Average,Satisfied,Very Dissatisfied,Very Dissatisfied
Rafia,rafia.jüttner@zoho.com,29,Male,Remote Only,52.3423787758029,13.409524456752132,Germany,Berlin,"['French', 'Romanian', 'Arabic', 'Punjabi', 'Hindi']",Within a Week,Within a month,Beginner,Expert,Expert,Beginner,Intermediate,Novice,,,,,,Intermediate,Beginner,Novice,,,,,,Intermediate,Beginner,Beginner,Beginner,Beginner,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,Very Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral or Average
Noël,noël.yüksel@web.de,29,Male,Local or Remote,52.40696407564341,13.323875858868572,Germany,Berlin,"['French', 'English', 'Punjabi']",Within a Month,Within 24 hours,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Intermediate,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,4.0,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral or Average,Very Satisfied
Ferdinand,ferdinand.troka@gmx.de,26,Prefer not to say,Local Only,52.58056353175331,13.124383042169718,Germany,Berlin,['Turkish'],Yesterday,Within a week,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Novice,Beginner,Novice,,,,,,Expert,Beginner,Novice,Expert,Expert,Novice,Beginner,Novice,Advanced,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,30.0,26.0,Neutral or Average,Very Dissatisfied,Neutral or Average,Dissatisfied,Very Dissatisfied
Danilo,danilo.thompson@protonmail.com,28,Male,Local or Remote,52.645419036575554,13.163060360197102,Germany,Berlin,"['Turkish', 'Spanish', 'Mandarin Chinese']",Today,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Novice,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,9.0,7.0,Neutral or Average,Very Satisfied,Satisfied,Satisfied,Satisfied
Lúcia,lúcia.dorynek@arcor.de,24,Female,Local or Remote,52.557094299972206,13.248225592018851,Germany,Berlin,['German'],Within a Week,Within a week,,,,,,,Beginner,Novice,Expert,Beginner,Novice,,,,,,,,,,,,,,Beginner,Expert,Novice,Intermediate,Novice,,,,,,Beginner,Novice,Novice,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,9.0,13.0,Very Satisfied,Neutral or Average,Satisfied,Very Satisfied,Satisfied
Antonino,antonino.chartier@zoho.com,24,Female,Local or Remote,52.60230918312726,13.171901421636916,Germany,Berlin,"['Russian', 'Japanese', 'Portuguese', 'Arabic']",Yesterday,Within a week,Advanced,Beginner,Novice,Novice,Advanced,Beginner,,,,,,,,,,,,,,,,,,,Beginner,Novice,Beginner,Expert,Intermediate,Novice,Novice,Novice,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,7.0,Neutral or Average,Satisfied,Dissatisfied,Dissatisfied,Satisfied
